s.no,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
0,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,125,9,131,0,6.29,1
1,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,124,8,131,0,6.34,1
2,Gujarat Titans,Rajasthan Royals,Ahmedabad,126,119,3,131,30,6.35,1
3,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,118,2,131,27,6.2,1
4,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,117,1,131,18,6.26,1
5,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,116,0,131,13.5,6.31,1
6,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,125,9,158,0,7.58,1
7,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,124,8,158,0,7.65,1
8,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,142,119,3,158,96,7.16,1
9,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,118,2,158,60,7.02,1
10,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,117,1,158,40,7.08,1
11,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,116,0,158,30,7.14,1
12,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,125,9,208,0,9.98,0
13,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,124,8,208,0,10.06,0
14,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,200,119,3,208,48,10.08,0
15,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,197,118,2,208,33,10.02,0
16,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,117,1,208,24,10.05,0
17,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,116,0,208,18,10.14,0
18,Gujarat Titans,Rajasthan Royals,Kolkata,189,125,9,189,0,9.07,1
19,Gujarat Titans,Rajasthan Royals,Kolkata,189,124,8,189,0,9.15,1
20,Gujarat Titans,Rajasthan Royals,Kolkata,189,123,7,189,0,9.22,1
21,Gujarat Titans,Rajasthan Royals,Kolkata,185,119,3,189,24,9.33,1
22,Gujarat Titans,Rajasthan Royals,Kolkata,181,118,2,189,24,9.2,1
23,Gujarat Titans,Rajasthan Royals,Kolkata,180,117,1,189,18,9.23,1
24,Gujarat Titans,Rajasthan Royals,Kolkata,180,116,0,189,13.5,9.31,1
25,Punjab Kings,Sunrisers Hyderabad,Mumbai,158,125,9,158,0,7.58,1
26,Punjab Kings,Sunrisers Hyderabad,Mumbai,145,119,3,158,78,7.31,1
27,Punjab Kings,Sunrisers Hyderabad,Mumbai,141,118,2,158,51,7.17,1
28,Punjab Kings,Sunrisers Hyderabad,Mumbai,141,117,1,158,34,7.23,1
29,Punjab Kings,Sunrisers Hyderabad,Mumbai,137,116,0,158,31.5,7.09,1
30,Mumbai Indians,Delhi Capitals,Mumbai,160,125,9,160,0,7.68,1
31,Mumbai Indians,Delhi Capitals,Mumbai,160,124,8,160,0,7.74,1
32,Mumbai Indians,Delhi Capitals,Mumbai,160,123,7,160,0,7.8,1
33,Mumbai Indians,Delhi Capitals,Mumbai,155,119,3,160,30,7.82,1
34,Mumbai Indians,Delhi Capitals,Mumbai,155,118,2,160,15,7.88,1
35,Mumbai Indians,Delhi Capitals,Mumbai,151,117,1,160,18,7.74,1
36,Mumbai Indians,Delhi Capitals,Mumbai,151,116,0,160,13.5,7.81,1
37,Rajasthan Royals,Chennai Super Kings,Mumbai,136,119,3,151,90,6.86,1
38,Rajasthan Royals,Chennai Super Kings,Mumbai,135,118,2,151,48,6.86,1
39,Rajasthan Royals,Chennai Super Kings,Mumbai,135,117,1,151,32,6.92,1
40,Rajasthan Royals,Chennai Super Kings,Mumbai,135,116,0,151,24,6.98,1
41,Royal Challengers Bangalore,Gujarat Titans,Mumbai,163,119,3,169,36,8.22,1
42,Royal Challengers Bangalore,Gujarat Titans,Mumbai,163,118,2,169,18,8.29,1
43,Royal Challengers Bangalore,Gujarat Titans,Mumbai,162,117,1,169,14,8.31,1
44,Royal Challengers Bangalore,Gujarat Titans,Mumbai,162,116,0,169,10.5,8.38,1
45,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,125,9,211,0,10.13,0
46,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,124,8,211,0,10.21,0
47,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,123,7,211,0,10.29,0
48,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211,122,6,211,0,10.38,0
49,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207,119,3,211,24,10.44,0
50,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207,118,2,211,12,10.53,0
51,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203,117,1,211,16,10.41,0
52,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203,116,0,211,12,10.5,0
53,Mumbai Indians,Sunrisers Hyderabad,Mumbai,192,119,3,194,12,9.68,0
54,Mumbai Indians,Sunrisers Hyderabad,Mumbai,191,119,2,194,18,9.63,0
55,Mumbai Indians,Sunrisers Hyderabad,Mumbai,190,118,1,194,12,9.66,0
56,Mumbai Indians,Sunrisers Hyderabad,Mumbai,190,117,0,194,8,9.74,0
57,Punjab Kings,Delhi Capitals,Navi Mumbai,160,125,9,160,0,7.68,0
58,Punjab Kings,Delhi Capitals,Navi Mumbai,153,119,3,160,42,7.71,0
59,Punjab Kings,Delhi Capitals,Navi Mumbai,149,118,2,160,33,7.58,0
60,Punjab Kings,Delhi Capitals,Navi Mumbai,148,117,1,160,24,7.59,0
61,Punjab Kings,Delhi Capitals,Navi Mumbai,148,116,0,160,18,7.66,0
62,Lucknow Super Giants,Rajasthan Royals,Mumbai,172,119,3,179,42,8.67,0
63,Lucknow Super Giants,Rajasthan Royals,Mumbai,172,118,2,179,21,8.75,0
64,Lucknow Super Giants,Rajasthan Royals,Mumbai,171,117,1,179,16,8.77,0
65,Lucknow Super Giants,Rajasthan Royals,Mumbai,170,116,0,179,13.5,8.79,0
66,Gujarat Titans,Chennai Super Kings,Mumbai,134,125,9,134,0,6.43,1
67,Gujarat Titans,Chennai Super Kings,Mumbai,122,119,3,134,72,6.15,1
68,Gujarat Titans,Chennai Super Kings,Mumbai,121,118,2,134,39,6.15,1
69,Gujarat Titans,Chennai Super Kings,Mumbai,117,117,1,134,34,6,1
70,Gujarat Titans,Chennai Super Kings,Mumbai,117,116,0,134,25.5,6.05,1
71,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178,125,9,178,0,8.54,0
72,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178,124,8,178,0,8.61,0
73,Sunrisers Hyderabad,Kolkata Knight Riders,Pune,173,119,3,178,30,8.72,0
